ID,Treść,Autor,Data
1660604965604442113,"Obrigado, Si Senor.

“Si senor,
Give the ball to Bobby and he will score” 🎶

A must have collectible for all #lfc fans around the world

https://t.co/8XOrpcmJAx

#siseñor #bobbyfirmino #robertofirmino #liverpool #liverpoolfc #thekop #ynwa https://t.co/9LvSULerig",supersoccerz,2023-05-22 11:14:11+00:00
1660603726879440898,#ESPO2023 Back in the one of the best cities in the world #Liverpool. Sat in the Adenotonsillar debate! Superb presenters! Absolutely why I've come to this conference . Learn new things #Update #ENT #cultofcoblation....! https://t.co/knXoFUjBYU,GhoshENTsurgeon,2023-05-22 11:09:15+00:00
1660601834266931206,"#OnAir: Lunchtime Flashbacks with @johnny_bee. Web/Mobile/Alexa https://t.co/qOIAhbHLCE 🔊🔊🔊

#skool #old #anthems #cheese #chart #house #liverpool #uk
#bigtunes #anthems #share #like #liverpool https://t.co/tHKHmmqDMK #housemusic #housepartyradio #live https://t.co/dEAGlGlKA2",HousePartyRadio,2023-05-22 11:01:44+00:00
1660601650036322304,"🇬🇧 Visit Britain 🇬🇧
🇬🇧 Liverpool
🇬🇧 The Beatles Statue
#VisitBritain #Travel #Liverpool https://t.co/R5ebI4KaMK",CentreAspire,2023-05-22 11:01:00+00:00
1660601604586741760,"⚽️ 📚 Out today! ⚽️ 📚

The fairy-tale story of #Wimbledon's famous 1988 FA Cup win over #Liverpool, and how a little team overcame the giants of English football. The book takes you through the tournament with tales from key players, staff and fans 👇
https://t.co/NwWFlkSXLh",PitchPublishing,2023-05-22 11:00:49+00:00
1660601452216107008,Still selling these #camelphat #liverpool #waterfront,abb_stanleyy,2023-05-22 11:00:13+00:00
1660600852749639687,"Roberto Firmino received a mural before his final game at Anfield 🧱🇧🇷

🎥 @TheRedmenTV

#firmino #robertofirmino #liverpool #liverpoolfc #lfc #premierleague #football https://t.co/pBLPNlZymv",KhelNowWF,2023-05-22 10:57:50+00:00
1660600756574076929,"SVR resident Frank Croy has celebrated his 80th birthday, as well as 30 years living at Whitefoord House in Edinburgh! As Frank is a huge #Liverpool and #Hibs fan, we got him a LFC dressing gown, while the letters #YNWA' - You'll Never Walk Alone - adorned his red &amp; white cake! https://t.co/oyqlc4FFSz",ScotVetRes,2023-05-22 10:57:27+00:00
1660599882439114757,⁦@DrPaulaENT⁩ presenting an #innovation pitch at the commercialisation and entrepreneurship session at #ESPO2023 in #Liverpool. Very ⁦@TEDTalks⁩ https://t.co/iShqQduPgY,ESPO_PedENT,2023-05-22 10:53:59+00:00
1660599479983128577,@comconliverpool COMIC CON LIVERPOOL SUPPORTS ABUSERS AND RACISTS #cancelpercy #ComicConLiverpool #ComicCon #LIVERPOOL,Wh0aremi,2023-05-22 10:52:23+00:00
1660599441294852096,"Hi gang, anyone know of any community development / project positions in and around Liverpool? Similar roles also welcomed. Know someone who is looking for the next step after some great success elsewhere. #liverpool #community #jobs",matt_thoma5,2023-05-22 10:52:13+00:00
1660598632469483520,"في رايك كانت تستحق البطاقة الحمراء 🤔
#Liverpool #ليفربول https://t.co/U3Ponhs71m",omar_elkazafy,2023-05-22 10:49:01+00:00
1660598190867988481,🎻 Alessandra - Queen Of Kings | Violin Cover 🎻 #eurovision #Eurovision2023  #alessandramele #queenofkings #ESC2023 #Eurovision #violin #cover #Musica #Studio #YAMAHA #yamahasv150 #top5song #top5 #Liverpool #ukraine https://t.co/j1sYyUcRKx,Azde_Violin,2023-05-22 10:47:15+00:00
1660598029148143619,"Tate Liverpool is the UK’s most visited modern art gallery outside London, and this £30m project has been billed as a ‘once-in-a-generation renewal’ :  : #artgallery #project #liverpool #liverpoolbusiness #art #business #culture https://t.co/Mnx70J0yKS",ARTSANDCRAFTSCO,2023-05-22 10:46:37+00:00
1660597622174887937,Black History Month Upcoming events in the Northwest 2023 #Manchester #Liverpool #Lancashire #Stockport #Carlisle #Cheshire,BhmUK,2023-05-22 10:45:00+00:00
